pct_rise_total,dollars_per_code,base_total,rise_total,affected_weight,codes_added_total,feature_set,model,pool,share_affected,codes_added,fold
2.679246052450496,2152.656700034829,532242239266.5602,14260079185.023438,6624409.3564908495,863,F2,CANN,prevalence,0.1,1,0
5.4869825518023765,2109.306331038258,532242239266.5602,29204038801.878414,6922664.188729616,1734,F2,CANN,prevalence,0.1,2,0
6.587408830659561,2088.7348853963063,532242239266.5602,35060972269.94557,16785745.531938717,2204,F2,CANN,prevalence,0.25,1,0
13.670932413163621,2105.826001278329,532242239266.5602,72762476804.44005,17276469.366479002,4416,F2,CANN,prevalence,0.25,2,0
2.7165945727019634,4241.97183422459,532242239266.5602,14458863785.54277,3408524.231322667,413,F2,CANN,chronic,0.05,1,0
6.059349675451434,4479.805394510182,532242239266.5602,32250418397.61376,3599533.4124485995,902,F2,CANN,chronic,0.05,2,0
5.183591247632761,4164.788231843345,532242239266.5602,27589262130.826035,6624409.3564908495,863,F2,CANN,chronic,0.1,1,0
13.304674180255127,5114.584057059738,532242239266.5602,70813095784.10974,6922664.188729616,1734,F2,CANN,chronic,0.1,2,0
14.071805235156857,4461.886494485511,532242239266.5602,74896091288.8279,16785745.531938717,2204,F2,CANN,chronic,0.25,1,0
30.75899091995982,4738.015001081126,532242239266.5602,163712342048.19208,17276469.366479002,4416,F2,CANN,chronic,0.25,2,0
6.042030121132023,9434.650960774961,532242239266.5602,32158236413.87314,3408524.231322667,413,F2,CANN,targeted,0.05,1,0
9.66546339588905,7145.88155173906,532242239266.5602,51443678813.76959,3599533.4124485995,902,F2,CANN,targeted,0.05,2,0
10.934331368264276,8785.255709816895,532242239266.5602,58197130123.275696,6624409.3564908495,863,F2,CANN,targeted,0.1,1,0
19.509016112440126,7499.657746274432,532242239266.5602,103835224215.72534,6922664.188729616,1734,F2,CANN,targeted,0.1,2,0
27.684544407304124,8778.212370955815,532242239266.5602,147348839084.18073,16785745.531938717,2204,F2,CANN,targeted,0.25,1,0
51.5804693569591,7945.287874105487,532242239266.5602,274533045129.68103,17276469.366479002,4416,F2,CANN,targeted,0.25,2,0
7.261213663324192,11338.410284561527,532242239266.5602,38647246199.6061,3408524.231322667,413,F2,CANN,own-targeted,0.05,1,0
16.25269888426079,12015.96409463474,532242239266.5602,86503728482.84088,3599533.4124485995,902,F2,CANN,own-targeted,0.05,2,0
14.296710290797332,11486.779710953933,532242239266.5602,76093130993.19247,6624409.3564908495,863,F2,CANN,own-targeted,0.1,1,0
34.49414060004035,13260.240663147179,532242239266.5602,183592386345.41046,6922664.188729616,1734,F2,CANN,own-targeted,0.1,2,0
36.47657664031918,11565.989008281756,532242239266.5602,194143748318.2178,16785745.531938717,2204,F2,CANN,own-targeted,0.25,1,0
83.74289244393667,12899.483005335644,532242239266.5602,445715045970.19556,17276469.366479002,4416,F2,CANN,own-targeted,0.25,2,0
1.3016569426135787,1890.2577364609385,494983669447.9159,6442989298.172245,3408524.231322667,413,F2,Constrained WLS,prevalence,0.05,1,0
2.994689290529266,2059.0478320830407,494983669447.9159,14823222938.82552,3599533.4124485995,902,F2,Constrained WLS,prevalence,0.05,2,0
2.7128401294093387,2027.0660969416924,494983669447.9159,13428115618.805935,6624409.3564908495,863,F2,Constrained WLS,prevalence,0.1,1,0
5.735363496694976,2050.447047419673,494983669447.9159,28389112692.11709,6922664.188729616,1734,F2,Constrained WLS,prevalence,0.1,2,0
8.135158400151902,2398.9226744712496,494983669447.9159,40267705564.47225,16785745.531938717,2204,F2,Constrained WLS,prevalence,0.25,1,0
14.109728437387906,2021.270957827436,494983669447.9159,69840851568.51874,17276469.366479002,4416,F2,Constrained WLS,prevalence,0.25,2,0
1.9092439837926598,2772.5916814219813,494983669447.9159,9450445929.69048,3408524.231322667,413,F2,Constrained WLS,chronic,0.05,1,0
4.630940950474805,3184.0795486647967,494983669447.9159,22922401446.62639,3599533.4124485995,902,F2,Constrained WLS,chronic,0.05,2,0
3.677479130139325,2747.8557199532083,494983669447.9159,18202921141.54493,6624409.3564908495,863,F2,Constrained WLS,chronic,0.1,1,0
