feature_set,model,fold,rank,flag,training_gain
F2,LightGBM (Tweedie),4,4,NEO030,4655.153282089115
F2,LightGBM (Tweedie),4,5,CIR019,4426.827523997238
F2,LightGBM (squared error),4,1,MUS003,9624.05294581028
F2,LightGBM (squared error),4,2,INF009,9256.21649586314
F2,LightGBM (squared error),4,3,NVS017,8046.9043124390655
F2,LightGBM (squared error),4,4,GEN006,7557.904955582982
F2,LightGBM (squared error),4,5,NVS009,6950.917343433178
F2,CANN,4,1,NVS009,8650.779842205984
F2,CANN,4,2,PRG029,7248.726758194928
F2,CANN,4,3,MUS003,6815.540709498804
F2,CANN,4,4,MBD014,6640.877809773488
F2,CANN,4,5,CIR019,6451.429953789019
F2,Constrained WLS,4,1,NVS009,22242.44242256506
F2,Constrained WLS,4,2,NVS015,19201.351753488252
F2,Constrained WLS,4,3,MUS003,16385.978481473856
F2,Constrained WLS,4,4,NVS012,13922.490413017747
F2,Constrained WLS,4,5,CIR019,12969.241034085939
