model,model_key,group,pr,nc,mean_cost,mae,n,nc_lo,nc_hi,nc_minus_wls,nc_minus_wls_lo,nc_minus_wls_hi,target_group
Tweedie GLM,tweedie,Age 65 and over,1.0335113385175392,561.6824697748528,16760.96791779527,14633.87629245679,9490,-308.6774365288393,1296.8595706890999,563.0816260537657,313.55290943637254,870.552422746018,False
Tweedie GLM,tweedie,Uninsured all year,1.1772277250381509,425.47325386049624,2400.7149771228355,3335.363913466412,3114,-118.42196793414442,924.7949606158152,551.762070313583,405.6572374951887,687.659563862881,False
Tweedie GLM,tweedie,Died in year 2,0.3612792327864806,-42317.88566027724,66254.1251709931,54140.30653890766,395,-52744.56048598699,-31763.348497143175,1289.1869024420278,224.0466530176324,2854.3880763560833,False
Two-part,twopart,Income below 200% FPL,1.0307842086018224,241.19668773994354,7835.0783955402985,7946.227763347632,15406,-303.0143579039535,699.6151952063752,333.12285975183585,192.70759272101378,497.3878089269286,True
Two-part,twopart,Hispanic,1.0748361593171614,360.0593324112696,4811.3015913244535,5881.980074193238,9944,-421.88871800239343,963.5805504976519,631.202276065132,498.08766575614777,727.5835133411617,False
Two-part,twopart,Non-Hispanic Black,1.0108793459221774,72.49793858188553,6663.814084089429,7059.9193217949605,6187,-558.2547429766358,752.6448301269278,274.78824056518073,91.84067745120497,448.92116879641407,False
Two-part,twopart,Non-Hispanic Asian,1.146977321874952,724.1466987827763,4926.928110711395,5760.518958526077,2348,191.5899349409463,1299.8644021323669,545.4872951429516,342.87559714255724,735.7239728696342,False
Two-part,twopart,Needs ADL or IADL help,0.7112634082773682,-9045.744116923468,31328.707120062754,25157.1237518618,1612,-14183.346695596118,-5544.441620193498,-1299.020443293367,-2147.336348831804,-616.5830159316948,True
Two-part,twopart,Mental health condition,1.011703587615535,165.98573767575422,14182.466362317144,12545.215481706728,7175,-471.4075062956361,797.1087074910455,-27.46427141493359,-261.6434355695256,232.72471314018577,True
Two-part,twopart,Age 65 and over,0.951385238815733,-814.830452540779,16760.96791779527,14700.71842026092,9490,-1666.0468420191394,-132.03947386236447,-813.431296261866,-1031.9319679478199,-582.8812479359385,False
Two-part,twopart,Uninsured all year,1.403663380559354,969.080723424876,2400.7149771228355,3785.9313355574272,3114,425.1653080176216,1477.2729930002256,1095.3695398779628,929.8549642871941,1260.5330511805957,False
Two-part,twopart,Died in year 2,0.2965813449753971,-46604.38761761164,66254.1251709931,54763.62814813462,395,-57389.49836481596,-35530.22591129384,-2997.315054892366,-4116.302734742126,-1813.0696462101328,False
Elastic net,enet,Income below 200% FPL,1.004359776096299,34.15918750150397,7835.0783955402985,7902.622093892855,15406,-498.28355104163285,453.5954759129828,126.08535951339623,57.69201717723789,194.74551336271594,True
Elastic net,enet,Hispanic,0.9861478925717293,-66.64666651283586,4811.3015913244535,5743.095601286258,9944,-853.7139106399376,502.057643398591,204.49627714102644,144.7413573701118,259.0318284101144,False
Elastic net,enet,Non-Hispanic Black,0.9846987171923782,-101.9649038780655,6663.814084089429,7073.438881661178,6187,-750.8487130871072,594.3271398818434,100.32539810522964,6.0696355164337445,194.95346690956094,False
Elastic net,enet,Non-Hispanic Asian,1.0915189141383632,450.9071107300843,4926.928110711395,5728.879277319997,2348,-103.52826069603161,999.8465197921822,272.2477070902595,152.1042917259965,389.134009237999,False
Elastic net,enet,Needs ADL or IADL help,0.6941264609590077,-9582.622520392333,31328.707120062754,23952.20366187597,1612,-14686.494646823368,-6008.804306763917,-1835.8988467622341,-2160.5926728698096,-1563.094860220194,True
Elastic net,enet,Mental health condition,1.0150096526543797,212.8738938808067,14182.466362317144,12412.126939020565,7175,-450.1246074655826,791.4495323583847,19.42388479011881,-73.9024157980184,125.6409364788332,True
Elastic net,enet,Age 65 and over,0.9819726350912316,-302.15608487825415,16760.96791779527,14753.838777474683,9490,-1157.5807691963712,392.1806850920641,-300.75692859934134,-390.6319194095,-216.59565262541756,False
Elastic net,enet,Uninsured all year,1.0414901752126733,99.60608503651491,2400.7149771228355,3478.093681049863,3114,-444.8787834473368,643.3497819662956,225.89490148960166,111.78151410613852,326.76072608298523,False
Elastic net,enet,Died in year 2,0.32036447339119883,-45028.65725059332,66254.1251709931,55661.42289125687,395,-56010.35402617309,-33805.99954675959,-1421.5846878740438,-1933.055666092489,-981.6916653331732,False
LightGBM (Tweedie),gbm,Income below 200% FPL,0.9994194639366318,-4.548545567928709,7835.0783955402985,6916.79132447887,15406,-513.8956253057944,416.51660963208064,87.37762644396354,-33.577904273605434,252.92208966611105,True
LightGBM (Tweedie),gbm,Hispanic,1.018814990521876,90.52459383865748,4811.3015913244535,5086.87722847066,9944,-669.5258759793439,697.0688807296071,361.66753749251984,239.30519670805654,496.61197691360036,False
LightGBM (Tweedie),gbm,Non-Hispanic Black,0.9987429500066627,-8.37674745000596,6663.814084089429,6384.58478114094,6187,-644.7238553960691,602.8317617936901,193.91355453328916,-8.611541077300323,390.8245441133948,False
LightGBM (Tweedie),gbm,Non-Hispanic Asian,1.0628301318655207,309.55954288793674,4926.928110711395,5144.710957941085,2348,-237.185831054256,837.7781854483758,130.90013924811197,-53.77673376433803,330.5237020349885,False
LightGBM (Tweedie),gbm,Needs ADL or IADL help,0.817374571290917,-5721.418568702764,31328.707120062754,22518.64066807304,1612,-10501.709442288027,-2458.345127352311,2025.305104927337,1354.3292001954005,2925.1531558193,True
LightGBM (Tweedie),gbm,Mental health condition,1.0379042868121513,537.5762727009585,14182.466362317144,11494.118439761936,7175,-37.964680358475505,1128.2519744771428,344.1262636102706,118.72079601441463,600.2806686872403,True
LightGBM (Tweedie),gbm,Age 65 and over,0.9721477993744334,-466.8298411251174,16760.96791779527,13504.555977105318,9490,-1298.2588511975746,175.99498859300235,-465.43068484620466,-679.540252831431,-271.6846465200256,False
LightGBM (Tweedie),gbm,Uninsured all year,1.2286457279606988,548.9132235704026,2400.7149771228355,3310.813178321358,3114,39.72138842999435,1023.5803349254568,675.2020400234893,490.81089256962787,861.5552961129005,False
LightGBM (Tweedie),gbm,Died in year 2,0.3579077416418259,-42541.2608565881,66254.1251709931,54003.39677520009,395,-53194.9795916956,-31877.960271790667,1065.8117061311739,-801.9404906215937,3243.9481482078754,False
LightGBM (squared error),gbm_mse,Income below 200% FPL,1.0148177663852145,116.09836127495605,7835.0783955402985,7137.567048938537,15406,-404.9436190593915,544.569265007009,208.02453328684828,76.63062104324676,361.46174605690834,True
LightGBM (squared error),gbm_mse,Hispanic,1.0606962691944826,292.0280565628709,4811.3015913244535,5283.972514157944,9944,-466.4561162492607,898.163237465688,563.1710002167332,445.51605399521713,704.2070002729571,False
LightGBM (squared error),gbm_mse,Non-Hispanic Black,1.0203907474591383,135.88015010331785,6663.814084089429,6578.155193156745,6187,-500.0932845607788,765.4993211760274,338.170452086613,127.4595644215594,544.5730436411797,False
LightGBM (squared error),gbm_mse,Non-Hispanic Asian,1.0610571635684833,300.8242555458641,4926.928110711395,5194.6434945988685,2348,-247.43301885019318,852.5956197743454,122.1648519060393,-79.15915819630702,309.8683263340394,False
LightGBM (squared error),gbm_mse,Needs ADL or IADL help,0.8092006447458909,-5977.4971194527925,31328.707120062754,22793.73710356915,1612,-10943.57524916054,-2582.3562869435145,1769.2265541773074,993.7851724294794,2706.929511225315,True
LightGBM (squared error),gbm_mse,Mental health condition,1.0199492321280375,282.92931360994635,14182.466362317144,11503.517427182102,7175,-331.7619448697873,893.2706011635773,89.47930451925845,-162.75370909530315,324.6689254477128,True
LightGBM (squared error),gbm_mse,Age 65 and over,0.9401284689896178,-1003.5048104543008,16760.96791779527,13420.745267692304,9490,-1832.1943306072917,-335.82287748226327,-1002.1056541753882,-1197.4962543874153,-785.4008310024007,False
LightGBM (squared error),gbm_mse,Uninsured all year,1.33831656898748,812.2016541770545,2400.7149771228355,3543.7132400630276,3114,283.75585784601617,1282.040775016862,938.4904706301412,767.2159237244557,1118.3381819122094,False
LightGBM (squared error),gbm_mse,Died in year 2,0.3480215862318419,-43196.259434581065,66254.1251709931,54687.27634887298,395,-54283.91998650243,-32597.699469288367,410.8131281382084,-1448.816450986473,2211.7752680304325,False
Random forest,rf,Income below 200% FPL,1.0049785195716636,39.007091137716635,7835.0783955402985,7041.809783493426,15406,-471.76156353453933,489.5582696824904,130.9332631496089,22.56647878929359,276.08135380232557,True
Random forest,rf,Hispanic,1.0298383138146319,143.56112673877828,4811.3015913244535,5170.176338833901,9944,-592.8457268329303,732.9230901642891,414.70407039264063,306.76656405128995,533.6156846373476,False
Random forest,rf,Non-Hispanic Black,1.0003553509329546,2.3679925518166964,6663.814084089429,6427.882916359485,6187,-649.3491628382386,635.4207720280218,204.65829453511185,15.266316737464148,384.62069635713203,False
Random forest,rf,Non-Hispanic Asian,1.061089543335702,300.9837883311913,4926.928110711395,5209.397823864833,2348,-239.25826675660863,835.9503331105581,122.32438469136655,-76.79534459109696,336.639538116414,False
Random forest,rf,Needs ADL or IADL help,0.7835220710728074,-6781.973633317786,31328.707120062754,22458.44790879598,1612,-11454.008704665595,-3391.320590170119,964.7500403123146,305.05515389146825,1764.6443590008957,True
Random forest,rf,Mental health condition,1.06847881008996,971.1984206323623,14182.466362317144,11765.458306967137,7175,410.0709900494311,1568.486211349714,777.7484115416743,542.4385665624768,1032.2291244951284,True
