feature,label,mean_abs_shap,sd_across_folds,rank,cann_permutation_r2_loss
ccsr_GEN006,GEN006 Other specified and unspecified diseases of kidney and ureters,71.4078258413383,30.81167160170622,23,-0.0029224552980576246
ccsr_MBD005,MBD005 Anxiety and fear-related disorders,70.30280798642453,14.53256158074532,24,0.0034221457218536755
ccsr_NVS017,NVS017 Nerve and nerve root disorders,64.50016291632673,18.250323057912055,25,
ccsr_SYM016,SYM016 Other general signs and symptoms,62.69206605525905,37.37165009205272,26,-0.0042222820404882455
ccsr_PRG029,"PRG029 Uncomplicated pregnancy, delivery or puerperium",55.44425112005017,16.112087350962913,27,8.921536219341775e-06
ccsr_MUS026,MUS026 Muscle disorders,53.79061063860083,34.17107435349068,28,
ccsr_CIR007,CIR007 Essential hypertension,53.37802796744988,11.449784629464425,29,
region_4.0,region_4.0,47.882774916477686,14.474941429417887,30,
ccsr_NVS009,NVS009 Epilepsy; convulsions,47.533950917412554,22.87444845546768,31,
age_45-54,age_45-54,47.51981965690366,34.57911380376076,32,0.001433431260886242
ccsr_NVS015,NVS015 Polyneuropathies,46.78875327931783,28.960480496759715,33,
ccsr_SYM006,SYM006 Abdominal pain and other digestive/abdomen signs and symptoms,38.399859040700036,30.240464244658327,34,
ccsr_EYE005,EYE005 Retinal and vitreous conditions,36.343057880468464,35.57313703854264,35,
ccsr_CIR017,CIR017 Cardiac dysrhythmias,35.01612465022652,11.617857635108072,36,
ccsr_RSP008,RSP008 Chronic obstructive pulmonary disease and bronchiectasis,33.926521742545034,20.059715847268112,37,
ccsr_MUS011,MUS011 Spondylopathies/spondyloarthropathy (including infective),31.604077401210485,16.54372700829807,38,
ccsr_GEN004,GEN004 Urinary tract infections,31.167012632174277,13.886599869979335,39,
ccsr_MUS033,MUS033 Gout,29.95474769177755,14.737088711114785,40,
ccsr_NEO030,NEO030 Breast cancer - all other types,29.117246600546103,15.479980148697827,41,
